Id,Fecha,Tweet,Usuario,Clasificación
3,6/1/2022,Una ultima prueba de cargar tweets,alejandro,Neutro
4,5/31/2022,esta es una prueba de tweet enviado,alejandro,Neutro
11,3/3/2022,hola profe,miusuario,Neutro
47,6/13/2022,"La FAA ha autorizado a SpaceX a utilizar su puerto espacial de pruebas en Texas. Tras una exhaustiva evaluación ambiental, la autoridad que gobierna el espacio aéreo en los EEUU le dio luz verde al nuevo cohete de Elon Musk y cía.",Guido de Caso :rocket:,Neutro
62,6/13/2022,"Es de las conspiranoicas,de las que creen que la nieve es plástico,el agua no hidrata y que las vacunas son un chip de Elon Musk.Asi que teniendo en cuenta esto yo creo que su opinión tiene validez nula....",:sparkles::cherryblossom:  :cherryblossom::sparkles::seedling:,Positivo
64,6/13/2022,si elon musk saca un chip neuronal ME LO VOY A PONER ya me cansé,Arcana :cloudwithlightning:,Positivo
69,6/13/2022,elon Musk t odio m debes 5 de hachís,RamónSifón,Negativo
75,6/13/2022,De Stephen Hawking a Elon Musk: por qué la IA cada vez genera mayor preocupaciónentre los expertos  from FeedLab,Miguel Angel,Neutro
78,6/13/2022,lo siento twitter era un chiste aunque nose si a elon musk le moleste la M palabra,Wubban,Negativo
83,6/13/2022,"Tras lo sucedido con la IA de Google, nuevamente hacen ruido las advertencias de Elon Musk sobre la inteligencia artificial. Por qué los expertos están cada vez más preocupados",Hipertextual,Positivo
87,6/13/2022,":mushroom: El CEO de   volvió a mostrarse a favor de los psicodélicos en Twitter. Esta vez, destacó el trabajo de , una empresa de biotecnología que se centra en el progreso de estos por vía terapéutica y mediante la ingeniería :labcoat:.   :backhandindexpointingleft:",El Planteo,Neutro
102,6/13/2022,Biden respondió a Elon Musk tras su mal presentimiento sobre la economía de EEUU,El Político,Neutro
105,6/13/2022,"La empresa SpaceX, propiedad del multimillonario Elon Musk, lanzará su sistema de internet satelital Starlink en Panamá.  ExitosaNoticias",La Exitosa 95.3 FM,Positivo
111,6/13/2022,Los 5 estadounidenses más ricos de todos los tiempos: Elon Musk ocupa el tercer lugar,El Diario Nueva York,Positivo
114,6/13/2022,No necesita bodega cuando tiene Ancianazi lavador y traquetos voltea tierra se cree elon Musk para desprestigiarlo.,Aemon Targaryan :multiply:,Neutro
147,6/15/2022,Dalas creyéndose que está hablando con Elon Musk:,scar :keycap_1::keycap_4::trophy:,Positivo
151,6/15/2022,Lo más triste es que este mindundi se creerá de verdad que Elon Musk va a utilizar su tiempo en leer a un subnormal diagnosticado hablar sobre la inmortalidad,s,Neutro
177,6/15/2022,"Elon Musk les hablará a los empleados de Twitter el jueves por primera vez desde que ofreció 44.000 millones de dólares por la compañía de redes sociales, dijo la empresa el martes.   #NoticiasDNN",Dominican News Network,Neutro
189,6/15/2022,"por regla general cualquier persona que comparta imágenes inspiracionales con fotos de elon musk, steve jobs, etc muy probablemente sea INSOPORTABLE",matugon con calma,Positivo
190,6/15/2022,"Talvez todo el tiempo que hablo de un hombre poderoso, se refería a Elon Musk    :woman_shrugging:",Jorge Ovalle,Positivo
208,6/15/2022,"Ostias bro yo también lo había entendido así, y digo joder, si eso no llega ni el mismísimo elon musk",Jero :melting_face:,Positivo
209,6/15/2022,Ahora que Elon Musk compro twitter tuitea mas que antes,Steven,Positivo
377,6/15/2022,solo en gorila esquizo. una fortuna que perdieron en 2022 los multimillonarios elon musk y jeff bezos: los pumas y un ex all blacks.,gorilaesquizo,Neutro
379,6/15/2022,desantis responde al apoyo de elon musk ante posible candidatura a la presidencia - #evnews #rondesantis #elonmusk,Venezolanonews,Neutro
390,6/15/2022,elon musk escribio en twitter que se inclinaba por votar por el gobernador ron desantis en la carrera presidencial republicana de 2024.,El_Sentinel,Neutro
395,6/15/2022,"es un gran idiota, tesla perdio el 45% de su capitalizacion de mercado desde el pico. elon musk perdio casi la mitad de su riqueza en el colapso de las acciones, incluida su inversion en bitcoins, que se desplomo un 66 %.",Jule_Hune,Negativo
408,6/15/2022,"con elon musk a la cabeza, la lista de las personas mas ricas del mundo vivio un ano volatil, coronado por un colapso mundial en el precio de las acciones. ?quienes acompanan al dueno de tesla en la lista? descubrelo en nuestra #edicionimpresa. !ya en circulacion!",forbesecuador,Neutro
415,6/15/2022,"wey, tumbaron la cuenta de :( cuantos mas, elon musk?",SandraMolko,Negativo
417,6/15/2022,"?los dices por elon musk, elxokas, sergio ramos o por ...? a ver si va a ser condicion sine qua non para ser rico.",Caos_Desatado,Neutro
418,6/15/2022,simultaneamente con la compra de todas las escuelas x parte de elon musk,RVerbalKint,Neutro
1,6/1/2022,Prueba de tweet en clase,alejandro,Neutro
9,3/3/2022,este es un nuevo texto de prueba,miusuario,Neutro
14,3/3/2022,matias prueba este es un nuevo texto de prueba,miusuario,Neutro
46,6/13/2022,"Por qué Elon Musk está obsesionado con los bots de Twitter, ¿tan importantes son?",ComputerHoy.com,Neutro
51,6/13/2022,"Yo lo tengo claro, Elon Musk o Jeff Bezos, les dejo interactuar con mi cuenta todo lo que quieran, acepto Bizum, Transferencia, Verse y de todo.",Javier Ruiz,Neutro
52,6/13/2022,Elon Musk es la epitome de lo que pueda salir mal va a salir mal.,Emiliano Rosas,Negativo
55,6/13/2022,Elon musk a comprado ya Twitter o aún no se puede decir kIll 4ll man,Mayte,Neutro
56,6/13/2022,"Esque eso és madurar, aver si maduramos nosotros como ha hecho Willy, nos sacamos 4 carreras y nos convertimos en empresarios exitosos como él, que seguro que su fortuna supera con creces la de Jeff Bezos y Elon Musk juntos",El Alto,Neutro
121,6/14/2022,elon musk twitteó un meme... y me reí. ¿es esta mi transición a fifa?,k4tluvr,Positivo
160,6/15/2022,habeis oido que elon musk ha comprado tuiter,Nathan,Neutro
163,6/15/2022,Internacionales Elon Musk tendrá su primer encuentro con los trabajadores de Twitter:  .,Actualidad Laboral,Neutro
169,6/15/2022,DeSantis responde al apoyo de Elon Musk ante posible candidatura a la presidencia    #EVNews #RonDeSantis #ElonMusk,El Venezolano,Neutro
176,6/15/2022,Hacele la cuenta Elon Musk o Michael Saylor y les escribes a ver q te dicen  Stupid minimo:rolling_on_the_floor_laughing:,Bastian,Negativo
191,6/15/2022,"Conoces a Bill Gates, a Carlos Slim, a Elon Musk   Pregúnteles si ya no necesitan más plata :person_shrugging::person_facepalming::woozy_face:",J.Gamez,Negativo
394,6/15/2022,culpa do elon musk.,otaldotonin,Negativo
405,6/15/2022,"elon musk va a dejarse 40 millones en esta mierda, enhorabuena retrasado:first_place:",albertofdezz__,Negativo
426,6/15/2022,"twitter y moi, una bonita historia de una decada ya. gracias por ser mi psicologo sustituto imaginario. (es mi relacion mas duradera) (odio a elon musk)",mirandaterrazas,Negativo
427,6/15/2022,como el tweet eliminado de elon musk,ExSwampert,Neutro
429,6/15/2022,elon #musk ya tiene candidato a presidente. y es republicano. #cryptocurrencies #bitcoin #ethereum #nft #nfts #nftcommunity #othereconomy #otraeconomia #metaverse #gold,MaximilianLex4,Neutro
431,6/15/2022,el empresario solia usar twitter para especular y eso movia el precio sus acciones.,BusInsiderMX,Neutro
433,6/15/2022,"si, elon musk escucho mis suplicas y me dio pene",IBOTS0FT,Positivo
438,6/15/2022,empiece comprando una accion del twitter (nasdaq: twtr) que han estado subiendo desde el 2006 porque elon musk las quiere comprar todas para que pueda donar un poco de leche y cereal a todos sus empleados. si no sabe como hacer eso con su cel entonces me puede seguir.,guillu,Positivo
439,6/15/2022,pero muy tirando de la gente de fing pa la izquierda el resto son todos adoradores de elon musk,ElDiegoDejo,Neutro
440,6/15/2022,elon musk parece que tiene un bajo a culo encima,brujaqua,Negativo
442,6/15/2022,y el agua apa?,huashorodriguez,Neutro
445,6/15/2022,"alana, o elon musk esta nos discriminando!!!!!",rafvsk,Neutro
446,6/15/2022,spacex se establecio en boca chica con la idea original de lanzar sus cohetes parcialmente reutilizables falcon 9 para poner satelites en orbita.,laprensa,Neutro
451,6/15/2022,si las cosas no fallan ... no estas innovando lo suficiente. elon musk,_SandroPaz,Neutro
452,6/15/2022,"aqui esta plasmada la respuesta de elon musk sobre, a quien apoyaria para la presidencia:arrow_heading_down: desantis",Maria1Guadalupe,Neutro
6,3/3/2022,este es un nuevo texto de prueba,miusuario,Neutro
7,3/3/2022,este es un nuevo texto de prueba,miusuario,Neutro
8,3/3/2022,este es un nuevo texto de prueba,miusuario,Neutro
10,6/1/2022,"Que algoritmo de mierda está teniendo Twitter. Si no le pongo fav a un tw me sigue apareciendo en el tl. La concha de su madre, no le quiero poner fav a esa mierda volvé Elon Musk",ivan'ts,Neutro
23,3/3/2022,este es un nuevo texto de pruebaa,miusuario,Neutro
57,6/13/2022,hoy ud apoya a un social demócrata confeso en sus palabras y su política me resulta extraño que se reconozca flia Cristina y la ataque al mismo tiempo para mi ud es un mercenario hoy es el pitbull de AF ud tiene de peronista lo yo tengo de Elon Musk. ud es un simple burócrata.,Angel RobertoVelasco,Neutro
79,6/13/2022,:comet:  El Hyperloop de Elon Musk es posible. Qué tanto lo queremos,Tecnovedosos,Positivo
80,6/13/2022,"Vientos difíciles soplarán en Tesla, según Elon Musk. Por qué Esto dijo el CEO a sus trabajadores:",Bloomberg Línea,Neutro
93,6/13/2022,Para ti tiene más valor Elon Musk que un asesino en serie. Habría que preguntarle a la mamá del asesino en serie quién tiene más valor. La dignidad moral es subjetiva y depende del marco moral en el que se desarrolle.,David Ghisays,Positivo
99,6/13/2022,Esto no le va gustar a Elon Musk,BerthaW:Nicaragua::CeutaMelilla::U.S.OutlyingIslands:,Neutro
101,6/13/2022,Yo: Odio a Elon Musk :poutingface:  Yo tambien: Amo Paypal :smilingfacewithhearteyes:,Gabivero,Negativo
103,6/13/2022,"Gracias a Dios no.  Doy trabajo también. Fumadote como Obama, Elon Musk, Richard Branson. No como cualquier mamerto vago.",Gato Perfumado,Positivo
109,6/13/2022,"Como caminaria el :globeshowingAsiaAustralia: si hubiera 10,000 Elon Musk  :rocket::flyingsaucer::sun::flyingsaucer::rocket:",BizTechia,Positivo
113,6/13/2022,Ahhh pero que ya vas de Elon Musk Cuando te has comprado Twitter,LaSuki,Neutro
167,6/15/2022,S LO EN GORILA ESQUIZO. Una fortuna que perdieron en 2022 los multimillonarios Elon Musk y Jeff Bezos: Los Pumas y un ex All Blacks.,Gorila Esquizo,Negativo
172,6/15/2022,Elon Musk 2.0    Bill Gates quiere bloquear el sol y enfriar el planeta: cómo piensa hacerlo,Ministro Limón,Negativo
174,6/15/2022,"""Elon Musk: La civilización va camino de desmoronarse"" #Japalpilpa",usuario,Neutro
175,6/15/2022,"NO0O00OO0OO0O0 QU  HACES TENIENDO HIJOS, ELON MUSK     DEBER AS ESTAR USANDO TU DINERO PARA HACERME INMORTAL  1",(       ),Negativo
185,6/15/2022,Qué es Starlink: cuánto cuesta en Chile y cómo funciona el Internet de Elon Musk   BioBioChile,Zicutake,Neutro
192,6/15/2022,"Te estás desviando del argumento. Hablo de meritocracia porque tú hace un momento sostenías que Elon Musk se merecía su fortuna y podía hacer lo que quisiera con ella porque ""para eso trabaja"". Como si su riqueza no proviniera de otras problemáticas que ya comentó .",Ana María Acosta,Negativo
205,6/15/2022,elon musk va a pagar por twits vírales :face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear:,:bubble_tea:Rafa,Negativo
380,6/15/2022,"las notas vespertinas ya estan aqui. leelas completas en :globe_with_meridians:. 1. controversial decision de la reserva federal, subira la tasa de interes 2. elon musk apoya a desantis #noticiasvespertinas #rondesantis #elonmusk #noticiasenespanol",prensafl,Neutro
383,6/15/2022,twitter sigue considerando a elon musk como su comprador,nahum_sv,Neutro
401,6/15/2022,"por regla general cualquier persona que comparta imagenes inspiracionales con fotos de elon musk, steve jobs, etc muy probablemente sea insoportable",matugon4,Negativo
424,6/15/2022,"viendo lo facil que es convencerte de chorradas sin fundamento: ?quieres invertir en criptomonedas? si metes todo tu dinero en criptos, escapas del control del gobierno. lo dice elon musk.",MaeseSonoro,Negativo
